task_criterion,n_human_raters,n_llm_raters,human_human_krippendorff_alpha,human_human_exact_agreement_pct,human_human_mean_spearman,human_human_mean_rank_distance,llm_llm_krippendorff_alpha,llm_llm_exact_agreement_pct,llm_llm_mean_spearman,llm_llm_mean_rank_distance,human_llm_krippendorff_alpha,human_llm_exact_agreement_pct,human_llm_mean_spearman,human_llm_mean_rank_distance,human_llm_cross_mean_spearman,human_llm_cross_mean_rank_distance
A10_accuracy,0,8,,,,,0.486,42.86,-0.029,0.857,,,,,,
A10_coherence,2,8,0.4,0.0,-0.2,1.5,0.957,57.14,0.914,0.214,0.8,35.56,0.6,0.567,0.1,1.125
A10_conciseness,2,8,1.0,100.0,1.0,0.0,0.693,10.71,0.386,0.893,0.729,17.78,0.458,0.778,0.55,0.625
A10_constructiveness,2,8,0.7,0.0,0.4,1.0,1.0,100.0,1.0,0.0,0.727,62.22,0.453,0.644,-0.5,1.75
A10_final,2,8,0.3,0.0,-0.4,1.5,0.829,17.86,0.657,0.607,0.771,13.33,0.542,0.722,0.4,0.875
A10_fluency,2,8,0.7,0.0,0.4,1.0,0.846,21.43,0.693,0.554,0.833,20.0,0.667,0.6,0.638,0.656
A10_motivational,2,8,1.0,100.0,1.0,0.0,0.975,75.0,0.95,0.125,0.953,53.33,0.907,0.233,0.825,0.438
A10_sentiment,2,8,0.7,0.0,0.4,1.0,0.775,14.29,0.55,0.714,0.784,15.56,0.569,0.689,0.613,0.625
A11_accuracy,0,8,,,,,1.0,100.0,1.0,0.0,,,,,,
A11_coherence,2,8,0.7,0.0,0.4,1.0,0.904,39.29,0.807,0.393,0.851,28.89,0.702,0.522,0.537,0.719
A11_conciseness,2,8,0.9,0.0,0.8,0.5,0.882,25.0,0.764,0.482,0.878,22.22,0.756,0.511,0.738,0.562
A11_constructiveness,2,8,0.5,0.0,0.0,1.5,0.839,25.0,0.679,0.571,0.787,17.78,0.573,0.711,0.425,0.906
A11_final,2,8,0.9,0.0,0.8,0.5,0.8,32.14,0.6,0.643,0.829,35.56,0.658,0.567,0.75,0.438
A11_fluency,2,8,0.6,0.0,0.2,1.0,0.704,21.43,0.407,0.839,0.691,22.22,0.382,0.844,0.35,0.844
A11_motivational,2,8,0.7,0.0,0.4,1.0,0.911,32.14,0.821,0.393,0.86,26.67,0.72,0.511,0.562,0.688
A11_sentiment,2,8,0.7,0.0,0.4,1.0,0.846,32.14,0.693,0.554,0.816,22.22,0.631,0.633,0.538,0.75
A12_accuracy,0,4,,,,,0.95,50.0,0.9,0.25,,,,,,
A12_coherence,1,4,,,,,1.0,100.0,1.0,0.0,0.64,60.0,0.28,0.8,-0.8,2.0
A12_conciseness,1,4,,,,,0.55,16.67,0.1,1.083,0.6,30.0,0.2,0.95,0.35,0.75
A12_constructiveness,1,4,,,,,1.0,100.0,1.0,0.0,0.88,60.0,0.76,0.4,0.4,1.0
A12_final,1,4,,,,,0.85,50.0,0.7,0.5,0.82,40.0,0.64,0.6,0.55,0.75
A12_fluency,1,4,,,,,1.0,100.0,1.0,0.0,1.0,100.0,1.0,0.0,1.0,0.0
A12_motivational,1,4,,,,,0.95,50.0,0.9,0.25,0.96,60.0,0.92,0.2,0.95,0.125
A12_sentiment,1,4,,,,,0.85,50.0,0.7,0.5,0.74,30.0,0.48,0.8,0.15,1.25
A13_accuracy,0,8,,,,,0.786,28.57,0.571,0.643,,,,,,
A13_coherence,2,8,0.9,0.0,0.8,0.5,0.839,21.43,0.679,0.625,0.713,13.33,0.427,0.856,-0.037,1.281
A13_conciseness,2,8,1.0,100.0,1.0,0.0,0.525,17.86,0.05,1.089,0.593,17.78,0.187,0.967,0.375,0.812
A13_constructiveness,2,8,0.1,0.0,-0.8,2.0,0.875,39.29,0.75,0.464,0.747,26.67,0.493,0.767,0.125,1.219
A13_final,2,8,0.3,0.0,-0.4,1.5,0.596,14.29,0.193,1.036,0.573,11.11,0.147,1.089,0.1,1.156
A13_fluency,2,8,0.2,0.0,-0.6,2.0,0.832,35.71,0.664,0.554,0.74,33.33,0.48,0.756,0.225,1.031
A13_motivational,2,8,0.9,0.0,0.8,0.5,0.882,53.57,0.764,0.357,0.849,33.33,0.698,0.533,0.575,0.844
A13_sentiment,2,8,0.7,0.0,0.4,1.0,0.789,10.71,0.579,0.732,0.789,11.11,0.578,0.744,0.588,0.75
A14_accuracy,0,4,,,,,0.45,16.67,-0.1,1.333,,,,,,
A14_coherence,1,4,,,,,0.717,16.67,0.433,0.917,0.58,10.0,0.16,1.1,-0.25,1.375
A14_conciseness,1,4,,,,,0.8,33.33,0.6,0.667,0.66,20.0,0.32,1.0,-0.1,1.5
A14_constructiveness,1,4,,,,,0.483,16.67,-0.033,1.083,0.55,10.0,0.1,1.05,0.3,1.0
A14_final,1,4,,,,,0.75,50.0,0.5,0.75,0.7,40.0,0.4,0.9,0.25,1.125
A14_fluency,1,4,,,,,0.75,0.0,0.5,0.833,0.76,0.0,0.52,0.8,0.55,0.75
A14_motivational,1,4,,,,,0.45,0.0,-0.1,1.417,0.5,0.0,0.0,1.3,0.15,1.125
A14_sentiment,1,4,,,,,0.733,0.0,0.467,0.833,0.76,0.0,0.52,0.8,0.6,0.75
A15_accuracy,0,8,,,,,0.789,39.29,0.579,0.554,,,,,,
A15_coherence,2,8,0.6,0.0,0.2,1.0,0.689,14.29,0.379,0.946,0.664,11.11,0.329,0.989,0.25,1.062
A15_conciseness,2,8,0.3,0.0,-0.4,1.5,0.9,53.57,0.8,0.357,0.784,46.67,0.569,0.567,0.225,0.875
A15_constructiveness,2,8,0.9,0.0,0.8,0.5,0.975,75.0,0.95,0.125,0.644,46.67,0.289,0.8,-0.9,2.0
A15_final,2,8,0.6,0.0,0.2,1.0,0.814,17.86,0.629,0.643,0.644,11.11,0.289,0.956,-0.3,1.5
A15_fluency,2,8,0.4,0.0,-0.2,1.5,0.882,35.71,0.764,0.446,0.718,24.44,0.436,0.789,-0.1,1.344
A15_motivational,2,8,0.9,0.0,0.8,0.5,1.0,100.0,1.0,0.0,0.66,62.22,0.32,0.722,-0.9,2.0
A15_sentiment,2,8,0.5,0.0,0.0,1.5,0.489,10.71,-0.021,1.161,0.46,6.67,-0.08,1.278,-0.188,1.469
A16_accuracy,0,8,,,,,0.839,46.43,0.679,0.536,,,,,,
A16_coherence,2,8,0.3,0.0,-0.4,1.5,0.957,57.14,0.914,0.214,0.722,35.56,0.444,0.633,-0.325,1.312
A16_conciseness,2,8,0.9,0.0,0.8,0.5,0.689,21.43,0.379,0.768,0.74,26.67,0.48,0.667,0.638,0.5
A16_constructiveness,2,8,0.3,0.0,-0.4,1.5,0.721,21.43,0.443,0.75,0.673,22.22,0.347,0.844,0.225,0.969
A16_final,2,8,0.1,0.0,-0.8,2.0,0.871,28.57,0.743,0.5,0.744,17.78,0.489,0.8,0.125,1.25
A16_fluency,2,8,0.1,0.0,-0.8,1.5,0.9,53.57,0.8,0.357,0.753,46.67,0.507,0.567,0.075,0.875
A16_motivational,2,8,0.1,0.0,-0.8,2.0,0.975,75.0,0.95,0.125,0.8,62.22,0.6,0.489,0.075,1.031
A16_sentiment,2,8,0.7,0.0,0.4,1.0,0.829,57.14,0.657,0.429,0.602,35.56,0.204,0.867,-0.6,1.625
A17_accuracy,0,8,,,,,0.814,28.57,0.629,0.571,,,,,,
A17_coherence,2,8,0.2,0.0,-0.6,2.0,0.95,53.57,0.9,0.25,0.773,33.33,0.547,0.644,0.0,1.25
A17_conciseness,2,8,0.5,0.0,0.0,1.5,0.918,32.14,0.836,0.411,0.873,20.0,0.747,0.556,0.638,0.75
A17_constructiveness,2,8,0.7,0.0,0.4,1.0,0.904,39.29,0.807,0.393,0.838,26.67,0.676,0.578,0.463,0.875
A17_final,2,8,0.9,0.0,0.8,0.5,0.786,17.86,0.571,0.679,0.807,17.78,0.613,0.644,0.675,0.594
A17_fluency,2,8,0.1,0.0,-0.8,1.5,0.643,10.71,0.286,0.964,0.567,6.67,0.133,1.1,-0.075,1.312
A17_motivational,2,8,0.4,0.0,-0.2,1.5,0.921,32.14,0.843,0.393,0.822,20.0,0.644,0.622,0.35,0.969
A17_sentiment,2,8,0.5,0.0,0.0,1.5,0.768,10.71,0.536,0.768,0.72,11.11,0.44,0.856,0.3,0.969
A18_accuracy,0,4,,,,,0.75,16.67,0.5,0.75,,,,,,
A18_coherence,1,4,,,,,0.9,16.67,0.8,0.5,0.56,10.0,0.12,1.1,-0.9,2.0
A18_conciseness,1,4,,,,,0.933,33.33,0.867,0.333,0.72,20.0,0.44,0.8,-0.2,1.5
A18_constructiveness,1,4,,,,,0.717,0.0,0.433,0.917,0.48,0.0,-0.04,1.25,-0.75,1.75
A18_final,1,4,,,,,1.0,100.0,1.0,0.0,0.72,60.0,0.44,0.6,-0.4,1.5
A18_fluency,1,4,,,,,0.717,16.67,0.433,0.75,0.59,10.0,0.18,0.95,-0.2,1.25
A18_motivational,1,4,,,,,0.8,50.0,0.6,0.5,0.82,30.0,0.64,0.55,0.7,0.625
A18_sentiment,1,4,,,,,0.8,16.67,0.6,0.667,0.6,10.0,0.2,1.05,-0.4,1.625
A1_accuracy,0,4,,,,,0.45,16.67,-0.1,1.167,,,,,,
A1_coherence,1,4,,,,,0.85,50.0,0.7,0.5,0.84,30.0,0.68,0.55,0.65,0.625
A1_conciseness,1,4,,,,,0.933,33.33,0.867,0.333,0.78,20.0,0.56,0.7,0.1,1.25
A1_constructiveness,1,4,,,,,0.85,50.0,0.7,0.5,0.79,30.0,0.58,0.7,0.4,1.0
A1_final,1,4,,,,,0.55,0.0,0.1,1.167,0.52,0.0,0.04,1.2,-0.05,1.25
A1_fluency,1,4,,,,,0.583,0.0,0.167,1.083,0.62,0.0,0.24,1.05,0.35,1.0
A1_motivational,1,4,,,,,0.867,33.33,0.733,0.667,0.8,20.0,0.6,0.8,0.4,1.0
A1_sentiment,1,4,,,,,0.5,16.67,0.0,1.167,0.44,10.0,-0.12,1.35,-0.3,1.625
A2_accuracy,0,8,,,,,0.775,25.0,0.55,0.75,,,,,,
A2_coherence,2,8,0.9,0.0,0.8,0.5,0.671,7.14,0.343,1.0,0.576,4.44,0.151,1.144,-0.225,1.438
A2_conciseness,2,8,0.9,0.0,0.8,0.5,0.839,25.0,0.679,0.554,0.86,28.89,0.72,0.5,0.787,0.406
A2_constructiveness,2,8,0.7,0.0,0.4,1.0,0.914,28.57,0.829,0.429,0.638,17.78,0.276,0.911,-0.7,1.75
A2_final,2,8,0.7,0.0,0.4,1.0,0.975,75.0,0.95,0.125,0.74,46.67,0.48,0.7,-0.338,1.688
A2_fluency,2,8,0.8,0.0,0.6,1.0,0.614,21.43,0.229,1.018,0.667,24.44,0.333,0.933,0.5,0.781
A2_motivational,2,8,0.7,0.0,0.4,1.0,0.789,53.57,0.579,0.589,0.624,35.56,0.249,0.889,-0.338,1.406
A2_sentiment,2,8,1.0,100.0,1.0,0.0,0.493,25.0,-0.014,1.214,0.453,17.78,-0.093,1.267,-0.3,1.438
A3_accuracy,0,8,,,,,0.975,75.0,0.95,0.125,,,,,,
A3_coherence,2,8,0.7,0.0,0.4,1.0,0.846,25.0,0.693,0.536,0.647,15.56,0.293,0.944,-0.412,1.656
A3_conciseness,2,8,1.0,100.0,1.0,0.0,0.882,39.29,0.764,0.429,0.904,48.89,0.809,0.356,0.875,0.25
A3_constructiveness,2,8,0.4,0.0,-0.2,1.5,0.746,14.29,0.493,0.75,0.691,11.11,0.382,0.878,0.225,1.062
A3_final,2,8,0.2,0.0,-0.6,2.0,0.539,0.0,0.079,1.196,0.549,0.0,0.098,1.189,0.175,1.125
A3_fluency,2,8,0.1,0.0,-0.8,2.0,0.782,32.14,0.564,0.607,0.704,20.0,0.409,0.811,0.212,1.094
A3_motivational,2,8,0.3,0.0,-0.4,1.5,0.704,17.86,0.407,0.911,0.68,11.11,0.36,0.978,0.325,1.062
A3_sentiment,2,8,0.7,0.0,0.4,1.0,0.518,10.71,0.036,1.196,0.496,8.89,-0.009,1.233,-0.112,1.312
A4_accuracy,0,8,,,,,0.711,35.71,0.421,0.786,,,,,,
A4_coherence,2,8,0.8,0.0,0.6,1.0,0.718,14.29,0.436,0.804,0.607,8.89,0.213,1.011,-0.2,1.375
A4_conciseness,2,8,0.7,0.0,0.4,1.0,0.682,7.14,0.364,0.911,0.607,4.44,0.213,1.067,-0.062,1.344
A4_constructiveness,2,8,0.1,0.0,-0.8,2.0,0.718,21.43,0.436,0.804,0.642,20.0,0.284,0.956,0.088,1.156
A4_final,2,8,0.6,0.0,0.2,1.0,0.689,14.29,0.379,0.875,0.611,8.89,0.222,1.056,-0.05,1.375
A4_fluency,2,8,0.1,0.0,-0.8,2.0,0.746,35.71,0.493,0.679,0.662,22.22,0.324,0.911,0.1,1.25
A4_motivational,2,8,1.0,100.0,1.0,0.0,0.521,3.57,0.043,1.232,0.507,8.89,0.013,1.233,-0.1,1.312
A4_sentiment,2,8,0.7,0.0,0.4,1.0,0.507,10.71,0.014,1.214,0.464,6.67,-0.071,1.311,-0.25,1.5
A5_accuracy,0,4,,,,,1.0,100.0,1.0,0.0,,,,,,
A5_coherence,1,4,,,,,0.333,0.0,-0.333,1.333,0.4,10.0,-0.2,1.2,0.0,1.0
A5_conciseness,1,4,,,,,0.95,50.0,0.9,0.25,0.91,30.0,0.82,0.4,0.7,0.625
A5_constructiveness,1,4,,,,,0.883,16.67,0.767,0.5,0.58,10.0,0.16,1.05,-0.75,1.875
A5_final,1,4,,,,,0.5,0.0,0.0,1.25,0.44,0.0,-0.12,1.35,-0.3,1.5
A5_fluency,1,4,,,,,0.55,0.0,0.1,1.167,0.46,0.0,-0.08,1.35,-0.35,1.625
A5_motivational,1,4,,,,,0.75,0.0,0.5,0.833,0.67,0.0,0.34,1.0,0.1,1.25
A5_sentiment,1,4,,,,,0.55,16.67,0.1,1.25,0.54,10.0,0.08,1.25,0.05,1.25
A6_accuracy,0,8,,,,,1.0,100.0,1.0,0.0,,,,,,
A6_coherence,2,8,0.1,0.0,-0.8,2.0,0.904,32.14,0.807,0.411,0.74,20.0,0.48,0.789,-0.013,1.375
A6_conciseness,2,8,0.7,0.0,0.4,1.0,0.454,7.14,-0.093,1.268,0.456,4.44,-0.089,1.289,-0.112,1.344
A6_constructiveness,2,8,0.1,0.0,-0.8,2.0,0.893,53.57,0.786,0.375,0.718,33.33,0.436,0.733,-0.1,1.281
A6_final,2,8,0.3,0.0,-0.4,1.5,0.557,21.43,0.114,1.036,0.536,13.33,0.071,1.1,0.025,1.188
A6_fluency,2,8,0.3,0.0,-0.4,1.5,0.925,39.29,0.85,0.339,0.762,26.67,0.524,0.689,0.012,1.25
A6_motivational,2,8,0.8,0.0,0.6,1.0,0.957,57.14,0.914,0.214,0.933,40.0,0.867,0.333,0.8,0.5
A6_sentiment,2,8,0.2,0.0,-0.6,2.0,0.943,42.86,0.886,0.286,0.787,35.56,0.573,0.622,0.1,1.125
A7_accuracy,0,4,,,,,0.95,50.0,0.9,0.25,,,,,,
A7_coherence,1,4,,,,,0.933,33.33,0.867,0.333,0.88,20.0,0.76,0.5,0.6,0.75
A7_conciseness,1,4,,,,,0.5,0.0,0.0,1.333,0.5,10.0,-0.0,1.3,-0.0,1.25
A7_constructiveness,1,4,,,,,0.883,16.67,0.767,0.5,0.8,10.0,0.6,0.7,0.35,1.0
A7_final,1,4,,,,,0.683,0.0,0.367,1.0,0.52,0.0,0.04,1.25,-0.45,1.625
A7_fluency,1,4,,,,,0.95,50.0,0.9,0.25,0.67,30.0,0.34,0.8,-0.5,1.625
A7_motivational,1,4,,,,,0.783,16.67,0.567,0.667,0.66,10.0,0.32,0.9,-0.05,1.25
A7_sentiment,1,4,,,,,0.95,50.0,0.9,0.25,0.96,60.0,0.92,0.2,0.95,0.125
A8_accuracy,0,8,,,,,1.0,100.0,1.0,0.0,,,,,,
A8_coherence,2,8,0.9,0.0,0.8,0.5,0.868,39.29,0.736,0.464,0.876,35.56,0.751,0.467,0.775,0.469
A8_conciseness,2,8,0.4,0.0,-0.2,1.5,0.811,25.0,0.621,0.625,0.767,20.0,0.533,0.722,0.425,0.844
A8_constructiveness,2,8,0.9,0.0,0.8,0.5,0.839,25.0,0.679,0.625,0.849,20.0,0.698,0.622,0.725,0.625
A8_final,2,8,0.7,0.0,0.4,1.0,1.0,100.0,1.0,0.0,0.904,62.22,0.809,0.378,0.5,1.0
A8_fluency,2,8,0.1,0.0,-0.8,2.0,0.775,14.29,0.55,0.732,0.664,15.56,0.329,0.911,0.013,1.156
A8_motivational,2,8,0.9,0.0,0.8,0.5,0.664,7.14,0.329,0.929,0.651,8.89,0.302,0.944,0.225,1.0
A8_sentiment,2,8,0.7,0.0,0.4,1.0,0.796,17.86,0.593,0.661,0.793,20.0,0.587,0.667,0.588,0.656
A9_accuracy,0,8,,,,,0.486,42.86,-0.029,0.857,,,,,,
A9_coherence,2,8,0.7,0.0,0.4,1.0,0.95,53.57,0.9,0.25,0.86,33.33,0.72,0.478,0.425,0.844
A9_conciseness,2,8,1.0,100.0,1.0,0.0,0.957,57.14,0.914,0.214,0.964,64.44,0.929,0.178,0.95,0.125
A9_constructiveness,2,8,1.0,100.0,1.0,0.0,0.896,35.71,0.793,0.464,0.918,46.67,0.836,0.378,0.9,0.25
A9_final,2,8,0.9,0.0,0.8,0.5,0.871,25.0,0.743,0.5,0.887,28.89,0.773,0.456,0.825,0.375
A9_fluency,2,8,0.3,0.0,-0.4,1.5,0.839,25.0,0.679,0.571,0.784,15.56,0.569,0.7,0.438,0.875
A9_motivational,2,8,0.6,0.0,0.2,1.0,0.796,14.29,0.593,0.714,0.767,13.33,0.533,0.744,0.45,0.781
A9_sentiment,2,8,0.9,0.0,0.8,0.5,0.846,25.0,0.693,0.536,0.864,28.89,0.729,0.489,0.787,0.406
B10_accuracy,0,8,,,,,0.507,32.14,0.014,0.946,,,,,,
B10_coherence,2,8,0.7,0.0,0.4,1.0,0.925,39.29,0.85,0.339,0.864,28.89,0.729,0.489,0.537,0.719
B10_conciseness,2,8,0.7,0.0,0.4,1.0,0.561,0.0,0.121,1.161,0.596,4.44,0.191,1.089,0.3,0.969
B10_constructiveness,2,8,0.9,0.0,0.8,0.5,0.875,21.43,0.75,0.518,0.889,26.67,0.778,0.467,0.825,0.375
B10_final,2,8,0.7,0.0,0.4,1.0,0.882,25.0,0.764,0.482,0.84,22.22,0.68,0.578,0.55,0.719
B10_fluency,2,8,0.5,0.0,0.0,1.5,0.839,17.86,0.679,0.589,0.78,15.56,0.56,0.722,0.388,0.906
B10_motivational,2,8,0.3,0.0,-0.4,1.5,0.704,21.43,0.407,0.804,0.6,15.56,0.2,1.011,-0.125,1.344
B10_sentiment,2,8,0.0,0.0,-1.0,2.0,0.725,7.14,0.45,0.839,0.629,8.89,0.258,0.967,0.0,1.125
B11_accuracy,0,8,,,,,0.882,39.29,0.764,0.429,,,,,,
B11_coherence,2,8,0.3,0.0,-0.4,1.5,0.946,53.57,0.893,0.25,0.773,35.56,0.547,0.556,0.0,1.031
B11_conciseness,2,8,0.3,0.0,-0.4,1.5,0.789,21.43,0.579,0.661,0.72,15.56,0.44,0.822,0.25,1.062
B11_constructiveness,2,8,0.7,0.0,0.4,1.0,0.925,39.29,0.85,0.339,0.887,35.56,0.773,0.433,0.662,0.562
B11_final,2,8,0.6,0.0,0.2,1.0,0.946,53.57,0.893,0.25,0.816,35.56,0.631,0.533,0.2,1.0
B11_fluency,2,8,0.7,0.0,0.4,1.0,0.975,75.0,0.95,0.125,0.74,46.67,0.48,0.7,-0.338,1.688
B11_motivational,2,8,0.6,0.0,0.2,1.0,0.957,57.14,0.914,0.214,0.893,48.89,0.787,0.356,0.6,0.562
B11_sentiment,2,8,0.5,0.0,0.0,1.5,0.704,14.29,0.407,0.857,0.649,8.89,0.298,0.967,0.125,1.125
B12_accuracy,0,8,,,,,0.946,46.43,0.893,0.268,,,,,,
B12_coherence,2,8,0.7,0.0,0.4,1.0,0.882,25.0,0.764,0.482,0.873,26.67,0.747,0.5,0.738,0.5
B12_conciseness,2,8,0.9,0.0,0.8,0.5,0.9,75.0,0.8,0.25,0.896,62.22,0.791,0.3,0.775,0.375
B12_constructiveness,2,8,0.9,0.0,0.8,0.5,0.882,25.0,0.764,0.482,0.847,20.0,0.693,0.567,0.562,0.719
B12_final,2,8,0.0,0.0,-1.0,2.0,0.804,32.14,0.607,0.625,0.678,20.0,0.356,0.833,0.0,1.125
B12_fluency,2,8,0.6,0.0,0.2,1.0,0.904,39.29,0.807,0.393,0.824,24.44,0.649,0.611,0.4,0.969
B12_motivational,2,8,0.1,0.0,-0.8,2.0,0.904,39.29,0.807,0.393,0.787,26.67,0.573,0.644,0.25,1.0
B12_sentiment,2,8,0.1,0.0,-0.8,1.5,0.582,10.71,0.164,1.054,0.558,11.11,0.116,1.056,0.088,1.031
B13_accuracy,0,4,,,,,0.683,0.0,0.367,0.917,,,,,,
B13_coherence,1,4,,,,,0.633,16.67,0.267,0.917,0.68,10.0,0.36,0.9,0.5,0.875
B13_conciseness,1,4,,,,,0.883,16.67,0.767,0.583,0.9,30.0,0.8,0.5,0.85,0.375
B13_constructiveness,1,4,,,,,0.783,16.67,0.567,0.667,0.79,10.0,0.58,0.7,0.6,0.75
B13_final,1,4,,,,,0.8,33.33,0.6,0.667,0.82,40.0,0.64,0.6,0.7,0.5
B13_fluency,1,4,,,,,0.883,16.67,0.767,0.583,0.88,10.0,0.76,0.6,0.75,0.625
B13_motivational,1,4,,,,,0.95,50.0,0.9,0.25,0.83,30.0,0.66,0.6,0.3,1.125
B13_sentiment,1,4,,,,,0.483,0.0,-0.033,1.167,0.56,0.0,0.12,1.1,0.35,1.0
B14_accuracy,0,8,,,,,0.818,39.29,0.636,0.518,,,,,,
B14_coherence,2,8,0.8,0.0,0.6,1.0,0.818,25.0,0.636,0.589,0.767,17.78,0.533,0.744,0.35,1.0
B14_conciseness,2,8,0.3,0.0,-0.4,1.5,0.889,17.86,0.779,0.554,0.78,11.11,0.56,0.767,0.238,1.094
B14_constructiveness,2,8,0.3,0.0,-0.4,1.5,0.746,14.29,0.493,0.786,0.684,13.33,0.369,0.889,0.2,1.031
B14_final,2,8,0.5,0.0,0.0,1.5,0.943,42.86,0.886,0.286,0.856,26.67,0.711,0.522,0.45,0.875
B14_fluency,2,8,0.1,0.0,-0.8,2.0,0.843,14.29,0.686,0.643,0.718,13.33,0.436,0.844,0.075,1.125
B14_motivational,2,8,0.9,0.0,0.8,0.5,0.868,39.29,0.736,0.482,0.856,26.67,0.711,0.556,0.662,0.688
B14_sentiment,2,8,0.8,0.0,0.6,1.0,0.775,35.71,0.55,0.643,0.784,24.44,0.569,0.667,0.6,0.688
B15_accuracy,0,8,,,,,0.561,10.71,0.121,1.054,,,,,,
B15_coherence,2,8,0.1,0.0,-0.8,2.0,0.689,25.0,0.379,0.839,0.602,24.44,0.204,0.989,-0.037,1.188
B15_conciseness,2,8,1.0,100.0,1.0,0.0,0.921,39.29,0.843,0.393,0.933,48.89,0.867,0.333,0.9,0.25
B15_constructiveness,2,8,0.1,0.0,-0.8,1.5,0.839,25.0,0.679,0.607,0.731,24.44,0.462,0.733,0.163,0.906
B15_final,2,8,0.6,0.0,0.2,1.0,0.711,25.0,0.421,0.821,0.66,24.44,0.32,0.889,0.15,1.0
B15_fluency,2,8,0.6,0.0,0.2,1.0,0.646,14.29,0.293,0.964,0.673,15.56,0.347,0.911,0.45,0.812
B15_motivational,2,8,0.9,0.0,0.8,0.5,0.957,57.14,0.914,0.214,0.944,48.89,0.889,0.278,0.85,0.375
B15_sentiment,2,8,1.0,100.0,1.0,0.0,0.796,14.29,0.593,0.696,0.807,15.56,0.613,0.656,0.625,0.625
B16_accuracy,0,8,,,,,0.796,39.29,0.593,0.571,,,,,,
B16_coherence,2,8,0.9,0.0,0.8,0.5,0.882,25.0,0.764,0.482,0.862,22.22,0.724,0.556,0.65,0.688
B16_conciseness,2,8,1.0,100.0,1.0,0.0,0.95,53.57,0.9,0.25,0.96,62.22,0.92,0.2,0.95,0.125
B16_constructiveness,2,8,1.0,100.0,1.0,0.0,0.946,46.43,0.893,0.268,0.953,53.33,0.907,0.233,0.925,0.188
B16_final,2,8,0.7,0.0,0.4,1.0,0.846,17.86,0.693,0.571,0.813,15.56,0.627,0.644,0.525,0.75
B16_fluency,2,8,0.9,0.0,0.8,0.5,0.918,35.71,0.836,0.375,0.864,24.44,0.729,0.522,0.537,0.781
B16_motivational,2,8,0.9,0.0,0.8,0.5,0.957,57.14,0.914,0.214,0.953,53.33,0.907,0.233,0.9,0.25
B16_sentiment,2,8,0.1,0.0,-0.8,2.0,0.646,10.71,0.293,0.982,0.607,8.89,0.213,1.078,0.138,1.188
B17_accuracy,0,4,,,,,0.8,50.0,0.6,0.5,,,,,,
B17_coherence,1,4,,,,,0.85,16.67,0.7,0.583,0.78,10.0,0.56,0.8,0.35,1.125
B17_conciseness,1,4,,,,,0.45,0.0,-0.1,1.25,0.54,10.0,0.08,1.05,0.35,0.75
B17_constructiveness,1,4,,,,,0.95,50.0,0.9,0.25,0.86,30.0,0.72,0.6,0.45,1.125
B17_final,1,4,,,,,1.0,100.0,1.0,0.0,0.72,60.0,0.44,0.6,-0.4,1.5
B17_fluency,1,4,,,,,0.95,50.0,0.9,0.25,0.71,30.0,0.42,0.75,-0.3,1.5
B17_motivational,1,4,,,,,0.95,50.0,0.9,0.25,0.75,30.0,0.5,0.75,-0.1,1.5
B17_sentiment,1,4,,,,,0.783,16.67,0.567,0.75,0.64,10.0,0.28,1.05,-0.15,1.5
