task_criterion,n_human_raters,n_llm_raters,human_human_krippendorff_alpha,human_human_exact_agreement_pct,human_human_mean_spearman,human_human_mean_rank_distance,llm_llm_krippendorff_alpha,llm_llm_exact_agreement_pct,llm_llm_mean_spearman,llm_llm_mean_rank_distance,human_llm_krippendorff_alpha,human_llm_exact_agreement_pct,human_llm_mean_spearman,human_llm_mean_rank_distance,human_llm_cross_mean_spearman,human_llm_cross_mean_rank_distance
B18_accuracy,0,8,,,,,0.796,39.29,0.593,0.571,,,,,,
B18_coherence,2,8,0.1,0.0,-0.8,2.0,0.846,21.43,0.693,0.607,0.713,15.56,0.427,0.878,0.037,1.281
B18_conciseness,2,8,0.9,0.0,0.8,0.5,0.839,35.71,0.679,0.518,0.86,35.56,0.72,0.478,0.787,0.406
B18_constructiveness,2,8,0.9,0.0,0.8,0.5,0.704,25.0,0.407,0.857,0.709,17.78,0.418,0.856,0.413,0.875
B18_final,2,8,0.7,0.0,0.4,1.0,0.832,39.29,0.664,0.554,0.702,24.44,0.404,0.833,-0.05,1.312
B18_fluency,2,8,0.4,0.0,-0.2,1.5,0.818,21.43,0.636,0.607,0.727,22.22,0.453,0.767,0.175,1.0
B18_motivational,2,8,0.7,0.0,0.4,1.0,0.904,25.0,0.807,0.482,0.813,17.78,0.627,0.667,0.325,0.969
B18_sentiment,2,8,0.1,0.0,-0.8,2.0,0.689,7.14,0.379,0.911,0.644,6.67,0.289,1.011,0.2,1.125
B1_accuracy,0,8,,,,,0.846,32.14,0.693,0.554,,,,,,
B1_coherence,2,8,0.3,0.0,-0.4,1.5,0.975,75.0,0.95,0.125,0.784,46.67,0.569,0.556,-0.037,1.25
B1_conciseness,2,8,0.7,0.0,0.4,1.0,0.871,28.57,0.743,0.5,0.86,22.22,0.72,0.533,0.7,0.562
B1_constructiveness,2,8,0.9,0.0,0.8,0.5,0.814,28.57,0.629,0.571,0.771,17.78,0.542,0.722,0.375,1.0
B1_final,2,8,0.7,0.0,0.4,1.0,0.839,25.0,0.679,0.554,0.68,15.56,0.36,0.911,-0.2,1.531
B1_fluency,2,8,0.7,0.0,0.4,1.0,0.786,21.43,0.571,0.75,0.784,13.33,0.569,0.767,0.575,0.781
B1_motivational,2,8,0.9,0.0,0.8,0.5,0.8,28.57,0.6,0.643,0.82,31.11,0.64,0.589,0.7,0.5
B1_sentiment,2,8,0.1,0.0,-0.8,2.0,0.746,25.0,0.493,0.732,0.638,15.56,0.276,0.978,-0.038,1.344
B2_accuracy,0,8,,,,,0.818,39.29,0.636,0.607,,,,,,
B2_coherence,2,8,0.3,0.0,-0.4,1.5,0.625,7.14,0.25,1.054,0.62,8.89,0.24,1.033,0.263,0.969
B2_conciseness,2,8,0.9,0.0,0.8,0.5,0.925,39.29,0.85,0.339,0.916,35.56,0.831,0.378,0.8,0.438
B2_constructiveness,2,8,0.7,0.0,0.4,1.0,0.807,25.0,0.614,0.679,0.816,28.89,0.631,0.644,0.675,0.562
B2_final,2,8,0.6,0.0,0.2,1.0,0.625,7.14,0.25,1.036,0.66,8.89,0.32,0.956,0.45,0.812
B2_fluency,2,8,0.6,0.0,0.2,1.0,0.586,3.57,0.171,1.125,0.627,4.44,0.253,1.044,0.4,0.906
B2_motivational,2,8,1.0,100.0,1.0,0.0,0.689,35.71,0.379,0.768,0.744,46.67,0.489,0.633,0.65,0.438
B2_sentiment,2,8,0.3,0.0,-0.4,1.5,0.739,17.86,0.479,0.804,0.682,13.33,0.364,0.911,0.213,1.062
B3_accuracy,0,8,,,,,0.925,75.0,0.85,0.25,,,,,,
B3_coherence,2,8,0.9,0.0,0.8,0.5,0.782,21.43,0.564,0.661,0.74,13.33,0.48,0.8,0.312,1.062
B3_conciseness,2,8,1.0,100.0,1.0,0.0,0.739,21.43,0.479,0.75,0.784,28.89,0.569,0.644,0.7,0.5
B3_constructiveness,2,8,0.7,0.0,0.4,1.0,0.689,10.71,0.379,0.911,0.7,6.67,0.4,0.922,0.438,0.938
B3_final,2,8,0.6,0.0,0.2,1.0,0.754,32.14,0.507,0.589,0.722,20.0,0.444,0.767,0.35,1.062
B3_fluency,2,8,1.0,100.0,1.0,0.0,0.814,28.57,0.629,0.571,0.733,20.0,0.467,0.8,0.15,1.25
B3_motivational,2,8,0.7,0.0,0.4,1.0,0.775,17.86,0.55,0.732,0.722,15.56,0.444,0.833,0.263,1.0
B3_sentiment,2,8,0.3,0.0,-0.4,1.5,0.714,14.29,0.429,0.857,0.691,15.56,0.382,0.878,0.35,0.875
B4_accuracy,0,4,,,,,0.65,50.0,0.3,0.75,,,,,,
B4_coherence,1,4,,,,,0.767,16.67,0.533,0.833,0.62,10.0,0.24,1.05,-0.2,1.375
B4_conciseness,1,4,,,,,0.85,16.67,0.7,0.583,0.87,30.0,0.74,0.5,0.8,0.375
B4_constructiveness,1,4,,,,,0.683,0.0,0.367,0.917,0.54,0.0,0.08,1.2,-0.35,1.625
B4_final,1,4,,,,,0.517,16.67,0.033,1.167,0.52,10.0,0.04,1.25,0.05,1.375
B4_fluency,1,4,,,,,0.783,16.67,0.567,0.667,0.58,10.0,0.16,1.05,-0.45,1.625
B4_motivational,1,4,,,,,0.783,0.0,0.567,0.75,0.72,0.0,0.44,0.9,0.25,1.125
B4_sentiment,1,4,,,,,0.367,0.0,-0.267,1.5,0.42,0.0,-0.16,1.4,0.0,1.25
B5_accuracy,0,4,,,,,0.55,16.67,0.1,1.083,,,,,,
B5_coherence,1,4,,,,,0.95,50.0,0.9,0.25,0.63,30.0,0.26,0.75,-0.7,1.5
B5_conciseness,1,4,,,,,1.0,100.0,1.0,0.0,0.88,60.0,0.76,0.4,0.4,1.0
B5_constructiveness,1,4,,,,,0.95,50.0,0.9,0.25,0.63,30.0,0.26,0.75,-0.7,1.5
B5_final,1,4,,,,,0.7,50.0,0.4,0.75,0.48,30.0,-0.04,1.15,-0.7,1.75
B5_fluency,1,4,,,,,0.433,0.0,-0.133,1.333,0.44,0.0,-0.12,1.35,-0.1,1.375
B5_motivational,1,4,,,,,0.717,16.67,0.433,0.75,0.76,10.0,0.52,0.75,0.65,0.75
B5_sentiment,1,4,,,,,0.75,0.0,0.5,0.833,0.58,0.0,0.16,1.15,-0.35,1.625
B6_accuracy,0,8,,,,,1.0,100.0,1.0,0.0,,,,,,
B6_coherence,2,8,0.6,0.0,0.2,1.0,0.55,7.14,0.1,1.161,0.578,8.89,0.156,1.122,0.25,1.062
B6_conciseness,2,8,0.7,0.0,0.4,1.0,0.543,10.71,0.086,1.179,0.584,11.11,0.169,1.111,0.3,1.0
B6_constructiveness,2,8,1.0,100.0,1.0,0.0,0.904,39.29,0.807,0.482,0.9,26.67,0.8,0.5,0.775,0.562
B6_final,2,8,0.9,0.0,0.8,0.5,0.668,14.29,0.336,0.946,0.687,13.33,0.373,0.911,0.413,0.875
B6_fluency,2,8,1.0,100.0,1.0,0.0,0.786,25.0,0.571,0.786,0.556,17.78,0.111,1.156,-0.75,1.875
B6_motivational,2,8,0.9,0.0,0.8,0.5,0.918,32.14,0.836,0.411,0.911,28.89,0.822,0.444,0.8,0.5
B6_sentiment,2,8,0.3,0.0,-0.4,1.5,0.957,57.14,0.914,0.214,0.727,35.56,0.453,0.7,-0.3,1.5
B7_accuracy,0,4,,,,,1.0,100.0,1.0,0.0,,,,,,
B7_coherence,1,4,,,,,0.85,50.0,0.7,0.5,0.88,60.0,0.76,0.4,0.85,0.25
B7_conciseness,1,4,,,,,0.683,0.0,0.367,1.0,0.55,0.0,0.1,1.25,-0.3,1.625
B7_constructiveness,1,4,,,,,0.95,50.0,0.9,0.25,0.94,40.0,0.88,0.3,0.85,0.375
B7_final,1,4,,,,,0.933,33.33,0.867,0.333,0.88,20.0,0.76,0.5,0.6,0.75
B7_fluency,1,4,,,,,0.783,16.67,0.567,0.833,0.76,10.0,0.52,0.85,0.45,0.875
B7_motivational,1,4,,,,,1.0,100.0,1.0,0.0,1.0,100.0,1.0,0.0,1.0,0.0
B7_sentiment,1,4,,,,,0.883,16.67,0.767,0.5,0.8,10.0,0.6,0.7,0.35,1.0
B8_accuracy,0,4,,,,,0.95,50.0,0.9,0.25,,,,,,
B8_coherence,0,4,,,,,0.95,50.0,0.9,0.25,,,,,,
B8_conciseness,0,4,,,,,0.55,16.67,0.1,0.917,,,,,,
B8_constructiveness,0,4,,,,,0.95,50.0,0.9,0.25,,,,,,
B8_final,0,4,,,,,0.85,50.0,0.7,0.5,,,,,,
B8_fluency,0,4,,,,,0.75,16.67,0.5,0.75,,,,,,
B8_motivational,0,4,,,,,0.85,16.67,0.7,0.583,,,,,,
B8_sentiment,0,4,,,,,0.95,50.0,0.9,0.25,,,,,,
B9_accuracy,0,8,,,,,1.0,100.0,1.0,0.0,,,,,,
B9_coherence,2,8,0.6,0.0,0.2,1.0,0.911,53.57,0.821,0.339,0.864,35.56,0.729,0.489,0.6,0.719
B9_conciseness,2,8,0.7,0.0,0.4,1.0,0.582,14.29,0.164,1.036,0.593,15.56,0.187,1.022,0.213,1.0
B9_constructiveness,2,8,1.0,100.0,1.0,0.0,0.871,32.14,0.743,0.464,0.893,40.0,0.787,0.4,0.85,0.312
B9_final,2,8,1.0,100.0,1.0,0.0,0.721,35.71,0.443,0.714,0.764,46.67,0.529,0.6,0.65,0.438
B9_fluency,2,8,0.5,0.0,0.0,1.5,0.739,14.29,0.479,0.821,0.704,11.11,0.409,0.9,0.312,1.0
B9_motivational,2,8,0.7,0.0,0.4,1.0,0.85,17.86,0.7,0.607,0.66,11.11,0.32,0.944,-0.35,1.531
B9_sentiment,2,8,0.9,0.0,0.8,0.5,0.882,25.0,0.764,0.482,0.656,15.56,0.311,0.956,-0.513,1.812
C10_accuracy,0,4,,,,,0.95,50.0,0.9,0.25,,,,,,
C10_coherence,0,4,,,,,0.95,50.0,0.9,0.25,,,,,,
C10_conciseness,0,4,,,,,0.65,50.0,0.3,0.75,,,,,,
C10_constructiveness,0,4,,,,,0.85,16.67,0.7,0.583,,,,,,
C10_final,0,4,,,,,0.85,16.67,0.7,0.583,,,,,,
C10_fluency,0,4,,,,,0.933,33.33,0.867,0.333,,,,,,
C10_motivational,0,4,,,,,0.85,50.0,0.7,0.5,,,,,,
C10_sentiment,0,4,,,,,0.933,33.33,0.867,0.333,,,,,,
C11_accuracy,0,8,,,,,0.461,32.14,-0.079,0.982,,,,,,
C11_coherence,2,8,0.6,0.0,0.2,1.0,0.911,32.14,0.821,0.393,0.749,20.0,0.498,0.733,-0.05,1.312
C11_conciseness,2,8,0.4,0.0,-0.2,1.5,0.704,10.71,0.407,0.875,0.642,6.67,0.284,0.978,0.1,1.125
C11_constructiveness,2,8,0.7,0.0,0.4,1.0,0.904,39.29,0.807,0.393,0.838,26.67,0.676,0.578,0.463,0.875
C11_final,2,8,0.9,0.0,0.8,0.5,0.946,53.57,0.893,0.25,0.94,48.89,0.88,0.278,0.863,0.312
C11_fluency,2,8,1.0,100.0,1.0,0.0,0.846,17.86,0.693,0.607,0.878,22.22,0.756,0.511,0.85,0.375
C11_motivational,2,8,0.9,0.0,0.8,0.5,0.943,42.86,0.886,0.286,0.918,35.56,0.836,0.367,0.75,0.5
C11_sentiment,2,8,0.9,0.0,0.8,0.5,0.882,35.71,0.764,0.446,0.86,26.67,0.72,0.522,0.638,0.656
C12_accuracy,0,8,,,,,0.814,32.14,0.629,0.607,,,,,,
C12_coherence,1,8,,,,,0.9,53.57,0.8,0.357,0.761,41.67,0.522,0.625,-0.45,1.562
C12_conciseness,1,8,,,,,0.946,53.57,0.893,0.25,0.953,58.33,0.906,0.222,0.95,0.125
C12_constructiveness,1,8,,,,,0.946,46.43,0.893,0.268,0.828,36.11,0.656,0.5,-0.175,1.312
C12_final,1,8,,,,,0.754,35.71,0.507,0.732,0.775,41.67,0.55,0.667,0.7,0.438
C12_fluency,1,8,,,,,0.975,75.0,0.95,0.125,0.953,58.33,0.906,0.222,0.75,0.562
C12_motivational,1,8,,,,,0.539,7.14,0.079,1.196,0.528,5.56,0.056,1.222,-0.025,1.312
C12_sentiment,1,8,,,,,0.896,25.0,0.793,0.464,0.778,19.44,0.556,0.681,-0.275,1.438
C13_accuracy,0,4,,,,,0.65,16.67,0.3,0.917,,,,,,
C13_coherence,1,4,,,,,0.383,16.67,-0.233,1.417,0.4,10.0,-0.2,1.45,-0.15,1.5
C13_conciseness,1,4,,,,,0.933,33.33,0.867,0.333,0.9,20.0,0.8,0.5,0.7,0.75
C13_constructiveness,1,4,,,,,0.95,50.0,0.9,0.25,0.91,30.0,0.82,0.4,0.7,0.625
C13_final,1,4,,,,,0.783,0.0,0.567,0.75,0.76,0.0,0.52,0.85,0.45,1.0
C13_fluency,1,4,,,,,0.85,50.0,0.7,0.5,0.7,30.0,0.4,0.9,-0.05,1.5
C13_motivational,1,4,,,,,0.9,16.67,0.8,0.5,0.92,30.0,0.84,0.4,0.9,0.25
C13_sentiment,1,4,,,,,0.5,16.67,0.0,1.083,0.58,30.0,0.16,0.9,0.4,0.625
C14_accuracy,0,8,,,,,0.582,7.14,0.164,1.089,,,,,,
C14_coherence,2,8,0.4,0.0,-0.2,1.5,0.704,25.0,0.407,0.875,0.598,15.56,0.196,1.067,-0.15,1.375
C14_conciseness,2,8,0.9,0.0,0.8,0.5,0.904,25.0,0.807,0.482,0.887,22.22,0.773,0.511,0.713,0.562
C14_constructiveness,2,8,0.1,0.0,-0.8,2.0,0.9,28.57,0.8,0.5,0.709,17.78,0.418,0.844,-0.175,1.375
C14_final,2,8,1.0,100.0,1.0,0.0,0.732,7.14,0.464,0.839,0.736,6.67,0.471,0.833,0.45,0.875
C14_fluency,2,8,0.3,0.0,-0.4,1.5,0.675,3.57,0.35,0.982,0.642,4.44,0.284,1.033,0.213,1.094
C14_motivational,2,8,0.8,0.0,0.6,1.0,0.868,32.14,0.736,0.464,0.86,26.67,0.72,0.522,0.7,0.594
C14_sentiment,2,8,0.3,0.0,-0.4,1.5,0.689,3.57,0.379,0.946,0.616,4.44,0.231,1.033,0.013,1.156
C15_accuracy,0,8,,,,,0.746,25.0,0.493,0.732,,,,,,
C15_coherence,2,8,0.7,0.0,0.4,1.0,0.696,39.29,0.393,0.732,0.571,28.89,0.142,0.989,-0.312,1.438
C15_conciseness,2,8,1.0,100.0,1.0,0.0,0.818,21.43,0.636,0.607,0.838,20.0,0.676,0.578,0.725,0.562
C15_constructiveness,2,8,0.1,0.0,-0.8,2.0,0.804,14.29,0.607,0.679,0.66,8.89,0.32,0.944,-0.112,1.344
C15_final,2,8,0.0,0.0,-1.0,2.0,0.871,25.0,0.743,0.5,0.72,24.44,0.44,0.733,0.0,1.062
C15_fluency,2,8,0.5,0.0,0.0,1.5,0.796,35.71,0.593,0.589,0.722,24.44,0.444,0.778,0.212,1.062
C15_motivational,2,8,0.2,0.0,-0.6,2.0,0.721,39.29,0.443,0.679,0.622,24.44,0.244,0.933,-0.05,1.312
C15_sentiment,2,8,0.1,0.0,-0.8,2.0,0.868,25.0,0.736,0.554,0.738,24.44,0.476,0.778,0.1,1.094
C16_accuracy,0,8,,,,,0.818,25.0,0.636,0.589,,,,,,
C16_coherence,2,8,0.6,0.0,0.2,1.0,0.757,7.14,0.514,0.821,0.591,4.44,0.182,1.089,-0.4,1.562
C16_conciseness,2,8,0.7,0.0,0.4,1.0,0.946,46.43,0.893,0.268,0.88,40.0,0.76,0.433,0.55,0.688
C16_constructiveness,2,8,1.0,100.0,1.0,0.0,0.696,25.0,0.393,0.768,0.58,17.78,0.16,1.033,-0.3,1.562
C16_final,2,8,0.6,0.0,0.2,1.0,0.871,57.14,0.743,0.429,0.627,35.56,0.253,0.911,-0.6,1.75
C16_fluency,2,8,0.3,0.0,-0.4,1.5,0.739,3.57,0.479,0.839,0.573,2.22,0.147,1.122,-0.4,1.594
C16_motivational,2,8,0.4,0.0,-0.2,1.5,0.871,25.0,0.743,0.5,0.72,17.78,0.44,0.756,-0.05,1.156
C16_sentiment,2,8,0.6,0.0,0.2,1.0,0.561,25.0,0.121,0.911,0.602,22.22,0.204,0.878,0.35,0.812
C17_accuracy,0,4,,,,,0.8,50.0,0.6,0.5,,,,,,
C17_coherence,1,4,,,,,0.933,33.33,0.867,0.333,0.64,20.0,0.28,0.8,-0.6,1.5
C17_conciseness,1,4,,,,,0.7,16.67,0.4,0.917,0.76,10.0,0.52,0.8,0.7,0.625
C17_constructiveness,1,4,,,,,0.783,16.67,0.567,0.667,0.58,10.0,0.16,1.1,-0.45,1.75
C17_final,1,4,,,,,0.95,50.0,0.9,0.25,0.63,30.0,0.26,0.75,-0.7,1.5
C17_fluency,1,4,,,,,0.65,16.67,0.3,0.917,0.72,30.0,0.44,0.75,0.65,0.5
C17_motivational,1,4,,,,,0.783,16.67,0.567,0.667,0.66,10.0,0.32,0.9,-0.05,1.25
C17_sentiment,1,4,,,,,0.417,16.67,-0.167,1.333,0.43,10.0,-0.14,1.3,-0.1,1.25
C18_accuracy,0,8,,,,,0.786,46.43,0.571,0.536,,,,,,
C18_coherence,2,8,0.1,0.0,-0.8,1.5,0.918,32.14,0.836,0.411,0.709,20.0,0.418,0.856,-0.238,1.594
C18_conciseness,2,8,0.9,0.0,0.8,0.5,0.9,28.57,0.8,0.5,0.878,26.67,0.756,0.544,0.675,0.625
C18_constructiveness,2,8,0.5,0.0,0.0,1.5,0.889,32.14,0.779,0.554,0.851,26.67,0.702,0.644,0.613,0.75
C18_final,2,8,0.1,0.0,-0.8,1.5,0.732,21.43,0.464,0.786,0.604,13.33,0.209,1.033,-0.175,1.438
C18_fluency,2,8,0.3,0.0,-0.4,1.5,0.904,39.29,0.807,0.393,0.742,26.67,0.484,0.756,-0.025,1.344
C18_motivational,2,8,0.3,0.0,-0.4,1.5,0.943,42.86,0.886,0.286,0.744,26.67,0.489,0.7,-0.15,1.375
C18_sentiment,2,8,0.4,0.0,-0.2,1.5,0.571,3.57,0.143,1.161,0.596,2.22,0.191,1.111,0.3,1.0
C1_accuracy,0,4,,,,,0.55,16.67,0.1,1.167,,,,,,
C1_coherence,1,4,,,,,0.933,33.33,0.867,0.333,0.7,20.0,0.4,0.8,-0.3,1.5
C1_conciseness,1,4,,,,,0.583,16.67,0.167,1.167,0.66,10.0,0.32,1.0,0.55,0.75
C1_constructiveness,1,4,,,,,0.95,50.0,0.9,0.25,0.67,30.0,0.34,0.8,-0.5,1.625
C1_final,1,4,,,,,0.517,16.67,0.033,1.25,0.54,10.0,0.08,1.25,0.15,1.25
C1_fluency,1,4,,,,,0.383,0.0,-0.233,1.417,0.43,10.0,-0.14,1.3,0.0,1.125
C1_motivational,1,4,,,,,0.5,0.0,0.0,1.167,0.48,0.0,-0.04,1.3,-0.1,1.5
C1_sentiment,1,4,,,,,0.583,0.0,0.167,1.083,0.67,10.0,0.34,0.9,0.6,0.625
C2_accuracy,0,8,,,,,0.871,57.14,0.743,0.429,,,,,,
C2_coherence,2,8,0.9,0.0,0.8,0.5,0.782,21.43,0.564,0.661,0.584,13.33,0.169,1.0,-0.562,1.625
C2_conciseness,2,8,1.0,100.0,1.0,0.0,0.829,28.57,0.657,0.571,0.84,20.0,0.68,0.578,0.7,0.625
C2_constructiveness,2,8,0.1,0.0,-0.8,2.0,1.0,100.0,1.0,0.0,0.82,62.22,0.64,0.489,0.1,1.25
C2_final,2,8,0.3,0.0,-0.4,1.5,0.582,14.29,0.164,1.107,0.536,13.33,0.071,1.189,-0.062,1.312
C2_fluency,2,8,0.7,0.0,0.4,1.0,0.846,53.57,0.693,0.446,0.804,46.67,0.609,0.567,0.475,0.75
C2_motivational,2,8,0.9,0.0,0.8,0.5,0.918,32.14,0.836,0.411,0.911,28.89,0.822,0.444,0.8,0.5
C2_sentiment,2,8,0.4,0.0,-0.2,1.5,0.9,28.57,0.8,0.429,0.72,17.78,0.44,0.744,-0.15,1.25
C3_accuracy,0,4,,,,,0.7,50.0,0.4,0.75,,,,,,
C3_coherence,1,4,,,,,0.417,0.0,-0.167,1.417,0.48,0.0,-0.04,1.3,0.15,1.125
C3_conciseness,1,4,,,,,1.0,100.0,1.0,0.0,1.0,100.0,1.0,0.0,1.0,0.0
C3_constructiveness,1,4,,,,,0.533,16.67,0.067,1.167,0.42,10.0,-0.16,1.4,-0.5,1.75
C3_final,1,4,,,,,0.45,0.0,-0.1,1.333,0.48,0.0,-0.04,1.3,0.05,1.25
C3_fluency,1,4,,,,,0.417,0.0,-0.167,1.417,0.44,0.0,-0.12,1.4,-0.05,1.375
C3_motivational,1,4,,,,,1.0,100.0,1.0,0.0,1.0,100.0,1.0,0.0,1.0,0.0
C3_sentiment,1,4,,,,,0.483,0.0,-0.033,1.25,0.4,0.0,-0.2,1.45,-0.45,1.75
C4_accuracy,0,8,,,,,0.911,53.57,0.821,0.339,,,,,,
C4_coherence,1,8,,,,,0.689,7.14,0.379,0.946,0.575,5.56,0.15,1.139,-0.65,1.812
C4_conciseness,1,8,,,,,0.946,53.57,0.893,0.25,0.864,41.67,0.728,0.431,0.15,1.062
C4_constructiveness,1,8,,,,,0.9,28.57,0.8,0.429,0.761,22.22,0.522,0.694,-0.45,1.625
C4_final,1,8,,,,,0.696,21.43,0.393,0.839,0.594,16.67,0.189,0.986,-0.525,1.5
C4_fluency,1,8,,,,,0.532,10.71,0.064,1.125,0.486,8.33,-0.028,1.236,-0.35,1.625
C4_motivational,1,8,,,,,0.925,39.29,0.85,0.339,0.861,30.56,0.722,0.486,0.275,1.0
C4_sentiment,1,8,,,,,0.711,14.29,0.421,0.875,0.628,11.11,0.256,1.014,-0.325,1.5
C5_accuracy,0,8,,,,,0.904,39.29,0.807,0.393,,,,,,
C5_coherence,2,8,0.5,0.0,0.0,1.5,0.539,10.71,0.079,1.161,0.529,11.11,0.058,1.2,0.025,1.25
C5_conciseness,2,8,0.7,0.0,0.4,1.0,0.846,21.43,0.693,0.607,0.807,20.0,0.613,0.678,0.488,0.781
C5_constructiveness,2,8,0.6,0.0,0.2,1.0,0.957,57.14,0.914,0.214,0.733,35.56,0.467,0.711,-0.3,1.562
C5_final,2,8,0.1,0.0,-0.8,1.5,0.589,10.71,0.179,1.0,0.567,11.11,0.133,1.022,0.113,1.031
C5_fluency,2,8,0.3,0.0,-0.4,1.5,0.482,3.57,-0.036,1.268,0.504,6.67,0.009,1.211,0.113,1.094
C5_motivational,2,8,0.9,0.0,0.8,0.5,0.782,14.29,0.564,0.732,0.807,17.78,0.613,0.678,0.688,0.594
C5_sentiment,2,8,0.1,0.0,-0.8,1.5,0.732,14.29,0.464,0.821,0.629,8.89,0.258,1.0,-0.037,1.281
C6_accuracy,0,8,,,,,0.679,46.43,0.357,0.804,,,,,,
C6_coherence,1,8,,,,,0.589,14.29,0.179,1.089,0.597,19.44,0.194,1.056,0.25,0.938
C6_conciseness,1,8,,,,,0.746,39.29,0.493,0.696,0.767,44.44,0.533,0.639,0.675,0.438
C6_constructiveness,1,8,,,,,0.704,17.86,0.407,0.911,0.686,19.44,0.372,0.944,0.25,1.062
C6_final,1,8,,,,,0.614,7.14,0.229,1.054,0.606,5.56,0.211,1.097,0.15,1.25
C6_fluency,1,8,,,,,0.796,14.29,0.593,0.679,0.786,11.11,0.572,0.722,0.5,0.875
C6_motivational,1,8,,,,,0.854,32.14,0.707,0.536,0.85,25.0,0.7,0.583,0.675,0.75
C6_sentiment,1,8,,,,,0.686,21.43,0.371,0.875,0.622,19.44,0.244,1.014,-0.2,1.5
C7_accuracy,0,8,,,,,0.957,57.14,0.914,0.214,,,,,,
C7_coherence,2,8,0.1,0.0,-0.8,2.0,1.0,100.0,1.0,0.0,0.767,62.22,0.533,0.489,-0.2,1.25
C7_conciseness,2,8,0.6,0.0,0.2,1.0,0.604,14.29,0.207,1.0,0.62,13.33,0.24,0.989,0.3,0.969
C7_constructiveness,2,8,0.4,0.0,-0.2,1.5,0.975,75.0,0.95,0.125,0.727,46.67,0.453,0.633,-0.375,1.469
C7_final,2,8,0.4,0.0,-0.2,1.5,0.925,39.29,0.85,0.339,0.838,24.44,0.676,0.589,0.425,0.969
C7_fluency,2,8,0.5,0.0,0.0,1.5,0.775,21.43,0.55,0.679,0.736,13.33,0.471,0.811,0.363,1.0
C7_motivational,2,8,0.9,0.0,0.8,0.5,0.943,42.86,0.886,0.286,0.944,44.44,0.889,0.278,0.9,0.25
C7_sentiment,2,8,1.0,100.0,1.0,0.0,0.775,32.14,0.55,0.625,0.793,40.0,0.587,0.567,0.625,0.5
C8_accuracy,0,8,,,,,0.496,32.14,-0.007,0.964,,,,,,
C8_coherence,2,8,0.6,0.0,0.2,1.0,0.943,42.86,0.886,0.286,0.778,26.67,0.556,0.644,0.0,1.25
C8_conciseness,2,8,0.7,0.0,0.4,1.0,0.754,14.29,0.507,0.768,0.762,13.33,0.524,0.756,0.562,0.719
C8_constructiveness,2,8,0.5,0.0,0.0,1.5,1.0,100.0,1.0,0.0,0.918,62.22,0.836,0.3,0.6,0.75
C8_final,2,8,0.9,0.0,0.8,0.5,0.861,25.0,0.721,0.518,0.84,20.0,0.68,0.578,0.6,0.688
C8_fluency,2,8,0.5,0.0,0.0,1.5,0.829,28.57,0.657,0.571,0.784,26.67,0.569,0.7,0.45,0.875
C8_motivational,2,8,1.0,100.0,1.0,0.0,1.0,100.0,1.0,0.0,1.0,100.0,1.0,0.0,1.0,0.0
C8_sentiment,2,8,0.5,0.0,0.0,1.5,0.582,14.29,0.164,0.964,0.571,8.89,0.142,1.056,0.113,1.188
C9_accuracy,0,4,,,,,1.0,100.0,1.0,0.0,,,,,,
C9_coherence,1,4,,,,,1.0,100.0,1.0,0.0,0.6,60.0,0.2,0.8,-1.0,2.0
C9_conciseness,1,4,,,,,1.0,100.0,1.0,0.0,0.96,60.0,0.92,0.2,0.8,0.5
C9_constructiveness,1,4,,,,,1.0,100.0,1.0,0.0,0.76,60.0,0.52,0.6,-0.2,1.5
C9_final,1,4,,,,,0.95,50.0,0.9,0.25,0.72,30.0,0.44,0.7,-0.25,1.375
C9_fluency,1,4,,,,,0.85,50.0,0.7,0.5,0.67,30.0,0.34,0.85,-0.2,1.375
C9_motivational,1,4,,,,,0.95,50.0,0.9,0.25,0.96,60.0,0.92,0.2,0.95,0.125
C9_sentiment,1,4,,,,,0.933,33.33,0.867,0.333,0.94,40.0,0.88,0.3,0.9,0.25
